title,contentId,artistName,completitionYear,image,artistUrl,genre,material,style,technique,for_model,image_path,image_size,image_width,image_height,image_new_size,image_new_width,image_new_height,image_new_path
Portrait of an Old Man in Red,220338,Rembrandt,1654.0,https://uploads6.wikiart.org/images/rembrandt/portrait-of-an-old-man-in-red-1654.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1654/220338.jpg,"(676, 780)",676,780,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220338.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220338.jpg
Sacrifice of Isaac,9223372032559831301,Rembrandt,,https://uploads8.wikiart.org/00199/images/rembrandt/woa-image-1-2.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/unknown-year/9223372032559831301.jpg,"(2471, 3633)",2471,3633,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_unknown-year_9223372032559831301.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_unknown-year_9223372032559831301.jpg
The Flight into Egypt,220601,Rembrandt,1654.0,https://uploads2.wikiart.org/images/rembrandt/the-flight-into-egypt.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1654/220601.jpg,"(760, 500)",760,500,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220601.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220601.jpg
The Entombment,220597,Rembrandt,1635.0,https://uploads0.wikiart.org/images/rembrandt/the-entombment-1635.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1635/220597.jpg,"(1035, 821)",1035,821,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1635_220597.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1635_220597.jpg
Mater Dolorosa,220237,Rembrandt,1660.0,https://uploads0.wikiart.org/images/rembrandt/mater-dolorosa-1660.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1660/220237.jpg,"(695, 1000)",695,1000,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1660_220237.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1660_220237.jpg
Tobit and Anna,220707,Rembrandt,1659.0,https://uploads0.wikiart.org/images/rembrandt/tobit-and-anna-1659.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1659/220707.jpg,"(600, 458)",600,458,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1659_220707.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1659_220707.jpg
Artemisia,220041,Rembrandt,1634.0,https://uploads4.wikiart.org/images/rembrandt/artemisia-1634.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1634/220041.jpg,"(1297, 1200)",1297,1200,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1634_220041.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1634_220041.jpg
Bathsheba at Her Bath (Bathsheba Holding King David's Letter),220048,Rembrandt,1654.0,https://uploads3.wikiart.org/images/rembrandt/bathsheba-bathing-1654.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1654/220048.jpg,"(1043, 1033)",1043,1033,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220048.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220048.jpg
Portrait of a Young Woman,220326,Rembrandt,1655.0,https://uploads2.wikiart.org/images/rembrandt/portrait-of-a-young-woman-1655.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1655/220326.jpg,"(420, 497)",420,497,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1655_220326.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1655_220326.jpg
Self-portrait,220432,Rembrandt,1630.0,https://uploads8.wikiart.org/images/rembrandt/self-portrait-1630.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1630/220432.jpg,"(1409, 1600)",1409,1600,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1630_220432.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1630_220432.jpg
The Three Crosses,220678,Rembrandt,1653.0,https://uploads3.wikiart.org/images/rembrandt/the-three-crosses-1653.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1653/220678.jpg,"(902, 780)",902,780,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1653_220678.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1653_220678.jpg
Self-portrait with beret and turned up collar,220492,Rembrandt,1659.0,https://uploads4.wikiart.org/images/rembrandt/self-portrait-with-beret-and-turned-up-collar-1659.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1659/220492.jpg,"(540, 659)",540,659,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1659_220492.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1659_220492.jpg
The Lamentation over the Dead Christ,220618,Rembrandt,1635.0,https://uploads8.wikiart.org/images/rembrandt/the-lamentation-over-the-dead-christ.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1635/220618.jpg,"(663, 810)",663,810,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1635_220618.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1635_220618.jpg
"Self-Portrait, Leaning Forward (Listening)",220507,Rembrandt,1628.0,https://uploads7.wikiart.org/images/rembrandt/self-portrait-leaning-forward-listening-1628.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1628/220507.jpg,"(1061, 1280)",1061,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1628_220507.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1628_220507.jpg
River Landscape with a Windmill,220404,Rembrandt,1640.0,https://uploads8.wikiart.org/images/rembrandt/river-landscape-with-a-windmill-1640.jpg!Large.jpg,rembrandt,landscape,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1640/220404.jpg,"(700, 535)",700,535,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1640_220404.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1640_220404.jpg
Lion Resting,220218,Rembrandt,1652.0,https://uploads7.wikiart.org/images/rembrandt/lion-resting-1652.jpg!Large.jpg,rembrandt,animal painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1652/220218.jpg,"(1600, 1067)",1600,1067,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1652_220218.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1652_220218.jpg
Bust of Young Woman (probably Saskia van Uylenburgh),220079,Rembrandt,1633.0,https://uploads0.wikiart.org/images/rembrandt/bust-of-young-woman-probably-saskia-van-uylenburgh-1633.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1633/220079.jpg,"(1199, 1600)",1199,1600,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1633_220079.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1633_220079.jpg
The Archangel Raphael Taking Leave of the Tobit Family,220563,Rembrandt,1637.0,https://uploads4.wikiart.org/images/rembrandt/the-archangel-raphael-taking-leave-of-the-tobit-family-1637.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1637/220563.jpg,"(795, 1045)",795,1045,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1637_220563.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1637_220563.jpg
Christ at Emmaus,220088,Rembrandt,1634.0,https://uploads2.wikiart.org/images/rembrandt/christ-at-emmaus-1634.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1634/220088.jpg,"(943, 1280)",943,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1634_220088.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1634_220088.jpg
Woman in bed,220729,Rembrandt,1645.0,https://uploads7.wikiart.org/images/rembrandt/woman-in-bed-1645.jpg!Large.jpg,rembrandt,"portrait, tronie",,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1645/220729.jpg,"(2178, 2947)",2178,2947,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1645_220729.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1645_220729.jpg
Self-portrait drawing at a window,220471,Rembrandt,1648.0,https://uploads1.wikiart.org/images/rembrandt/self-portrait-drawing-at-a-window-1648.jpg!Large.jpg,rembrandt,self-portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1648/220471.jpg,"(1050, 1280)",1050,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1648_220471.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1648_220471.jpg
The entombment,220599,Rembrandt,1654.0,https://uploads0.wikiart.org/images/rembrandt/the-entombment-1654.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1654/220599.jpg,"(1013, 1280)",1013,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220599.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1654_220599.jpg
The Unity (Agreement) in the Country,220685,Rembrandt,1641.0,https://uploads6.wikiart.org/images/rembrandt/the-unity-agreement-in-the-country.jpg!Large.jpg,rembrandt,history painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1641/220685.jpg,"(735, 544)",735,544,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1641_220685.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1641_220685.jpg
Portrait of Andries de Graeff,220342,Rembrandt,1639.0,https://uploads1.wikiart.org/images/rembrandt/portrait-of-andries-de-graeff.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1639/220342.jpg,"(800, 1296)",800,1296,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1639_220342.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1639_220342.jpg
Minerva,220240,Rembrandt,1632.0,https://uploads2.wikiart.org/images/rembrandt/minerva-1632.jpg!Large.jpg,rembrandt,mythological painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1632/220240.jpg,"(660, 826)",660,826,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1632_220240.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1632_220240.jpg
Seated Female Nude,220426,Rembrandt,1631.0,https://uploads8.wikiart.org/images/rembrandt/seated-female-nude.jpg!Large.jpg,rembrandt,nude painting (nu),,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1631/220426.jpg,"(776, 890)",776,890,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1631_220426.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1631_220426.jpg
Abraham and Isaac,220005,Rembrandt,1645.0,https://uploads3.wikiart.org/images/rembrandt/abraham-and-isaac-1645.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1645/220005.jpg,"(1054, 1280)",1054,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1645_220005.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1645_220005.jpg
Beggar with his left hand extended,220058,Rembrandt,1631.0,https://uploads2.wikiart.org/images/rembrandt/beggar-with-his-left-hand-extended-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1631/220058.jpg,"(861, 1280)",861,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1631_220058.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1631_220058.jpg
Large Self-portrait,220215,Rembrandt,1652.0,https://uploads5.wikiart.org/images/rembrandt/large-self-portrait-1652.jpg!Large.jpg,rembrandt,self-portrait,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1652/220215.jpg,"(776, 1100)",776,1100,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1652_220215.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1652_220215.jpg
Angel Departing from the Family of Tobias,220035,Rembrandt,1641.0,https://uploads0.wikiart.org/images/rembrandt/angel-departing-from-the-family-of-tobias-1641.jpg!Large.jpg,rembrandt,religious painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1641/220035.jpg,"(1040, 706)",1040,706,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1641_220035.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1641_220035.jpg
Self-portrait with plumed cap and lowered sabre,220500,Rembrandt,1634.0,https://uploads6.wikiart.org/images/rembrandt/self-portrait-with-plumed-cap-and-lowered-sabre-1634.jpg!Large.jpg,rembrandt,self-portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1634/220500.jpg,"(1058, 1280)",1058,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1634_220500.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1634_220500.jpg
St Anthonisgate Amsterdam Sun,220520,Rembrandt,1652.0,https://uploads1.wikiart.org/images/rembrandt/st-anthonisgate-amsterdam-sun.jpg!Large.jpg,rembrandt,landscape,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1652/220520.jpg,"(1002, 795)",1002,795,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1652_220520.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1652_220520.jpg
Adoration of the magi,220014,Rembrandt,1632.0,https://uploads7.wikiart.org/images/rembrandt/adoration-of-the-magi-1632.jpg!Large.jpg,rembrandt,religious painting,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1632/220014.jpg,"(500, 575)",500,575,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1632_220014.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1632_220014.jpg
Lucretia,220223,Rembrandt,1666.0,https://uploads3.wikiart.org/images/rembrandt/lucretia-1666.jpg!Large.jpg,rembrandt,portrait,,"Baroque, Tenebrism",,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1666/220223.jpg,"(669, 796)",669,796,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1666_220223.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1666_220223.jpg
Self-Portrait Leaning Forward (bust),220484,Rembrandt,1628.0,https://uploads2.wikiart.org/images/rembrandt/self-portrait-leaning-forward-bust-1628.jpg!Large.jpg,rembrandt,"self-portrait, tronie",,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1628/220484.jpg,"(1202, 1280)",1202,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1628_220484.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1628_220484.jpg
Bust of a Bearded Old Man,220068,Rembrandt,1630.0,https://uploads6.wikiart.org/images/rembrandt/bust-of-a-bearded-old-man.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1630/220068.jpg,"(300, 450)",300,450,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1630_220068.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1630_220068.jpg
The blind fiddler,220576,Rembrandt,1631.0,https://uploads3.wikiart.org/images/rembrandt/the-blind-fiddler-1631.jpg!Large.jpg,rembrandt,genre painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1631/220576.jpg,"(905, 1280)",905,1280,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1631_220576.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1631_220576.jpg
"An Old Man, Wearing a Rich Velvet Cap",220031,Rembrandt,1637.0,https://uploads4.wikiart.org/images/rembrandt/an-old-man-wearing-a-rich-velvet-cap-1637.jpg!Large.jpg,rembrandt,portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1637/220031.jpg,"(760, 858)",760,858,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1637_220031.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1637_220031.jpg
The Bull,220581,Rembrandt,1650.0,https://uploads3.wikiart.org/images/rembrandt/the-bull-1650.jpg!Large.jpg,rembrandt,animal painting,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1650/220581.jpg,"(941, 696)",941,696,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1650_220581.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1650_220581.jpg
Self-portrait in oriental attire with poodle,220481,Rembrandt,1631.0,https://uploads3.wikiart.org/images/rembrandt/self-portrait-in-oriental-attire-with-poodle-1631.jpg!Large.jpg,rembrandt,self-portrait,,Baroque,,1.0,wikiart-master/wiki_art_saved/rembrandt/images/rembrandt/1631/220481.jpg,"(600, 788)",600,788,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1631_220481.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/rembrandt_1631_220481.jpg
Cup and Oranges,218394,Renoir Pierre-Auguste,,https://uploads8.wikiart.org/images/pierre-auguste-renoir/cup-and-oranges.jpg!Large.jpg,pierre-auguste-renoir,still life,,Impressionism,,1.0,wikiart-master/wiki_art_saved/renoir/images/pierre-auguste-renoir/unknown-year/218394.jpg,"(902, 524)",902,524,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/pierre-auguste-renoir_unknown-year_218394.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/pierre-auguste-renoir_unknown-year_218394.jpg
Head of a Young Girl,218545,Renoir Pierre-Auguste,1905.0,https://uploads0.wikiart.org/images/pierre-auguste-renoir/head-of-a-young-girl-1905.jpg!Large.jpg,pierre-auguste-renoir,portrait,,Impressionism,,1.0,wikiart-master/wiki_art_saved/renoir/images/pierre-auguste-renoir/1905/218545.jpg,"(831, 1048)",831,1048,"(256, 256, 'wikiart-master/wiki_art_saved/resized_images_120/pierre-auguste-renoir_1905_218545.jpg')",256,256,wikiart-master/wiki_art_saved/resized_images_120/pierre-auguste-renoir_1905_218545.jpg
